computer,mobiltelefone,games,filme_musik,smart_home,haushaltsgeraete,foto,sports_freizeit,class
0.7417008349452817,0.8666560428291525,0.011406564047031643,0.15514393025087553,0.4519917060397881,0.4503371655917655,0.7706875846572306,0.32404327100747266,t_enth
0.5960225968352636,0.7740968960571283,0.16013415031894634,0.2619128277940183,0.5353188188324591,0.33376111286886306,0.425459235291807,0.858868893817955,t_enth
0.6551227910284866,0.9263376654431412,0.2793387373250012,0.07145671535726855,0.6160112416986864,0.4781721967476305,0.547626240154001,0.18937084295319603,t_enth
0.8024304597453135,0.6329911511536711,0.5493621040205269,0.786271194394252,0.31165938027746976,0.8747621542710409,0.7706820536978339,0.908506793794016,t_enth
0.842561257308565,0.8871586445957873,0.48792811629304034,0.5530641053592744,0.7859490193189534,0.6260913487985084,0.4617556031841363,0.8003689799682636,t_enth
0.6075151088699836,0.8076953190120171,0.5866108257417264,0.8505816179938991,0.15132893702150052,0.09447502444493508,0.6145096040813541,0.48880760378016164,t_enth
0.6970279344575966,0.8141467464197037,0.3051919463133616,0.6576582633120066,0.5858491103018788,0.6096086903759557,0.22037573575177086,0.28463725747245755,t_enth
0.7085193915602142,0.895038179840532,0.0583389991548496,0.9260642471165009,0.40676550849837656,0.6370647194974944,0.6085024661945975,0.1950210643748178,t_enth
0.629526611500684,0.9120763898133657,0.680276532445393,0.22159745865965988,0.10194240834226524,0.15578879967899834,0.23806075102851612,0.14545208475611615,t_enth
0.5390001166052922,0.6296202269010877,0.10596811197017854,0.44084211882869173,0.658659397784957,0.4582966497112842,0.2522012964247805,0.038841297889073166,t_enth
0.6762931281304357,0.8132930206738387,0.5628040917376675,0.8407915799499671,0.10256944808270993,0.2020839050163747,0.6267569514506769,0.40613288677368176,t_enth
0.8250491734202268,0.8023011334465907,0.13268362710409182,0.5623157702223328,0.05662531423019282,0.1947833744681644,0.46021860908674905,0.8462032649717487,t_enth
0.7739949038234458,0.7213586880281533,0.13719126505058063,0.2445491991159711,0.4538990895828546,0.6735577285161604,0.05045701962436422,0.6680059516015345,t_enth
0.6275598222178446,0.8484550248843704,0.36130638992809727,0.16459151017858517,0.7417516393399752,0.9124173469213375,0.8446517537385504,0.07264302247239252,t_enth
0.8402990085566733,0.8896496599830149,0.5006627771278159,0.044372916777915244,0.25543779408673073,0.11370774577037346,0.01421108547276329,0.33868018930347676,t_enth
0.7319535427874825,0.8106000975588715,0.0037184039721158265,0.17045352693139101,0.7074640438680635,0.14904583456679812,0.06234878586664618,0.31315599740381,t_enth
0.6950826012162165,0.8463965082841796,0.18318934530747175,0.33373814601924123,0.8934119656186827,0.713905863895082,0.09690464255938655,0.5939314566242212,t_enth
0.7449314576643988,0.7171956947633238,0.7111778275321258,0.34379471758194335,0.30578881380460654,0.42706965234666644,0.8483743367802734,0.5945725911889612,t_enth
0.9009370102562537,0.5887671794577752,0.41406520733060576,0.04624454558519513,0.16182140050082103,0.08113645607978452,0.8618038482481231,0.6300117197257558,t_enth
0.6946609371692016,0.8301432539742499,0.6891477206073267,0.41706284728733667,0.4006732344887752,0.14079813799035068,0.1030750449370874,0.9029659192475131,t_enth
0.8496374233478818,0.84370691070483,0.6754670126980497,0.5575974151536691,0.8180150426287381,0.6926780140954674,0.06181440277439846,0.6224450546317376,t_enth
0.814566131703915,0.7617024187091139,0.6499296808013116,0.22006738703324372,0.11358684350733265,0.026670759702356005,0.12869379926693564,0.5387159316460954,t_enth
